# Run complete. Total time: 00:22:56

Benchmark                                                                                           (captureOutput)  (command)  (iterations)    Mode   Cnt           Score            Error    Units
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.invocations                                      false       date             5   thrpt    10           1.600 ±          0.781        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastEntryTime                                    false       date             5   thrpt    10  1092383854.100 ±  521464995.544        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.lastExitTime                                     false       date             5   thrpt    10  1091928575.700 ±  522090824.426        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.collector.0.time                                             false       date             5   thrpt    10     5794245.500 ±    4305573.312        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.compressedclassspace.used                                    false       date             5   thrpt    10         216.000 ±        688.451        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.0.space.1.capacity                                false       date             5   thrpt    10      104857.600 ±    2297314.024        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.generation.1.space.0.used                                    false       date             5   thrpt    10      429832.000 ±    1129753.103        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.capacity                                           false       date             5   thrpt    10       52428.800 ±     167105.007        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.metaspace.used                                               false       date             5   thrpt    10        9755.200 ±       9550.676        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgMinorIntervalTime                                  false       date             5   thrpt    10           2.200 ±         33.029        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedAvg                                        false       date             5   thrpt    10       30716.900 ±     155582.291        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedDev                                        false       date             5   thrpt    10       32439.300 ±     126924.109        ?
Benchmark.runApache_withoutThreads:·hs_gc.sun.gc.policy.avgPromotedPaddedAvg                                  false       date             5   thrpt    10      128035.200 ±     536032.279        ?
